#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:115 out:116 type:b dur:2 cpbdur:2 q:41.77 aq:43.95 tex:9090 mv:9751 misc:2679 imb:93 pmb:895 smb:2612 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:41.87 aq:40.56 tex:74201 mv:22492 misc:2419 imb:1543 pmb:1063 smb:994 d:s ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:41.83 aq:42.12 tex:20801 mv:17930 misc:3325 imb:257 pmb:1381 smb:1962 d:t ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:41.80 aq:43.74 tex:9055 mv:9812 misc:2613 imb:107 pmb:884 smb:2609 d:s ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:41.85 aq:44.22 tex:8448 mv:10324 misc:2716 imb:111 pmb:896 smb:2593 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:41.98 aq:40.66 tex:68618 mv:22048 misc:2622 imb:1448 pmb:1078 smb:1074 d:s ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:41.93 aq:42.42 tex:21537 mv:18290 misc:3269 imb:299 pmb:1346 smb:1955 d:t ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:41.90 aq:43.72 tex:8326 mv:10253 misc:2597 imb:130 pmb:836 smb:2634 d:s ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:41.95 aq:44.06 tex:9768 mv:9948 misc:2700 imb:120 pmb:874 smb:2606 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:42.08 aq:40.46 tex:66010 mv:21312 misc:2670 imb:1488 pmb:998 smb:1114 d:s ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:42.03 aq:42.42 tex:20908 mv:17244 misc:3272 imb:275 pmb:1329 smb:1996 d:t ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:42.00 aq:43.66 tex:8511 mv:10189 misc:2660 imb:130 pmb:855 smb:2615 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:42.05 aq:43.67 tex:8659 mv:9663 misc:2702 imb:146 pmb:830 smb:2624 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:42.16 aq:40.73 tex:63601 mv:21018 misc:2773 imb:1409 pmb:1018 smb:1173 d:s ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:42.12 aq:41.97 tex:18890 mv:17836 misc:3330 imb:303 pmb:1321 smb:1976 d:t ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:42.10 aq:43.69 tex:8235 mv:9825 misc:2660 imb:163 pmb:794 smb:2643 d:s ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:42.14 aq:43.79 tex:8791 mv:10567 misc:2754 imb:138 pmb:905 smb:2557 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:42.25 aq:40.85 tex:62996 mv:21098 misc:2738 imb:1508 pmb:1001 smb:1091 d:s ref:0 ;
